ta,тха
tai,тхай
tan,тхан
tang,тхан
tao,тхао
te,тхэ
ten,тхэн
teng,тхэнъ
ti,тхи
tian,тхьен
tiao,тхяо
tie,тхье
ting,тхинъ
tong,тхунъ
tou,тхоу
tu,тху
tuan,тхуан
tui,тхуй
tun,тхун
tuo,тхуо
wa,ва
wai,вай
wan,ван
wang,ванъ
wei,вэй
wen,вэн
weng,вэнъ
wo,во
wu,ву
xi,си
xia,сья
xian,сьен
xiang,сьянъ
xiao,сяо
xie,сье
xin,син
xing,син
xiong,сьёнъ
xiu,сиу
xu,сю
xuan,сюан
xue,сюэ
xun,сюн
ya,я
yan,ен
yang,янъ
yao,яо
ye,е
yi,йи
yin,йин
ying,йинъ
yong,ёнъ
you,йоу
yu,ю
yuan,юан
yue,юэ
yun,юн
za,дза
zai,дзай
zan,дзан
zang,дзанъ
zao,дзао
ze,дзэ
zei,дзэй
zen,дзэн
zeng,дзэнъ
zha,джа
zhai,джай
zhan,джан
zhang,джанъ
zhao,джао
zhe,джэ
zhei,джэй
zhen,джэн
zheng,джэнъ
zhi,джи
zhong,джунъ
zhou,джоу
zhu,джу
zhua,джуа
zhuai,джуай
zhuan,джуан
zhuang,джуанъ
zhui,джуй
zhun,джун
zhuo,джуо
zi,дзы
zong,дзунъ
zou,дзоу
zu,дзу
zuan,дзуан
zui,дзуй
zun,дзун
zuo,дзуо
